Date,AP,BHR,DEL,GUJ,HAR,JH,KAR,KER,MP,MAH,PUN,RAJ,TN,UP,UTT,WB
4/3/2020,29,5,167,8,6,0,4,9,5,88,7,46,102,61,6,16
4/4/2020,0,1,59,10,0,0,16,11,0,67,4,21,74,53,6,0
4/5/2020,65,0,58,17,35,1,7,8,61,200,11,53,86,0,4,11
4/6/2020,40,2,20,22,6,1,0,13,0,58,8,35,50,78,5,11
4/7/2020,39,6,53,21,57,0,24,9,64,270,15,40,69,21,0,8
4/8/2020,43,0,93,14,0,0,6,9,0,117,10,53,48,35,2,4
4/9/2020,0,1,51,62,22,9,0,12,30,229,0,82,96,49,2,13
4/10/2020,15,21,183,67,8,1,26,7,176,210,31,90,77,21,0,0
4/11/2020,18,3,166,124,0,3,7,0,97,187,19,147,58,21,0,18
4/12/2020,46,1,85,84,8,2,18,12,32,224,0,104,74,31,0,18
4/13/2020,46,2,356,101,14,5,26,3,166,352,25,75,130,174,0,38
4/14/2020,10,0,51,33,0,3,2,8,0,350,0,90,31,3,2,23
4/15/2020,42,4,17,116,6,1,19,1,257,229,10,54,38,75,0,18
4/16/2020,47,13,62,255,0,1,74,7,321,289,0,108,25,111,0,24
4/17/2020,0,0,67,78,20,4,6,1,2,118,16,98,56,3,3,32
4/18/2020,31,3,186,277,0,1,25,4,97,328,0,122,49,120,2,23
4/19/2020,43,7,110,367,8,8,6,2,0,552,17,127,105,115,2,29
4/20/2020,76,20,78,196,21,4,18,6,78,463,26,98,43,100,2,53
4/21/2020,35,13,75,239,0,0,10,19,67,552,0,83,76,110,0,31
4/22/2020,56,17,92,229,8,4,9,11,40,434,6,231,33,155,0,33
4/23/2020,82,10,128,217,10,4,18,9,107,778,26,74,54,61,1,58
4/24/2020,60,70,138,191,0,4,29,3,153,387,21,70,72,111,1,57
4/25/2020,106,20,111,256,17,10,26,7,244,811,0,49,66,222,0,40
4/26/2020,36,31,293,230,0,15,3,1,0,440,15,102,64,25,2,38
4/27/2020,86,71,190,247,7,0,9,23,72,522,0,77,52,87,1,48
4/28/2020,76,21,206,196,14,21,11,4,219,728,9,102,121,98,3,28
4/29/2020,73,26,125,338,0,4,12,10,174,597,35,74,104,81,1,33
4/30/2020,71,26,76,313,3,2,30,2,99,583,0,146,161,69,2,37
5/1/2020,60,53,223,326,47,2,24,0,59,1008,123,82,203,125,1,0
5/2/2020,62,10,384,333,0,4,12,2,127,790,292,104,231,159,1,127
5/3/2020,58,22,427,374,82,0,13,1,0,678,330,116,266,158,1,41
5/4/2020,67,25,349,376,75,0,37,0,96,1567,131,175,527,121,0,296
5/5/2020,67,8,206,441,31,10,20,2,107,984,218,97,508,114,1,85
5/6/2020,60,6,428,380,46,2,22,1,89,1233,65,159,771,118,0,112
5/7/2020,70,8,448,387,31,5,12,0,114,1216,128,110,580,73,0,92
5/8/2020,40,21,338,390,22,0,48,0,89,1089,87,152,600,143,2,130
5/9/2020,43,20,224,394,28,24,41,2,273,1165,31,129,526,159,4,108
5/10/2020,50,105,381,398,28,1,54,7,0,1943,61,106,669,94,1,153
5/11/2020,38,51,310,347,27,3,14,7,171,1230,54,174,798,106,0,124
5/12/2020,72,84,406,362,50,12,63,5,201,1026,37,138,716,91,1,110
5/13/2020,47,109,359,364,13,1,34,10,187,1495,10,202,509,65,3,117
5/14/2020,68,54,472,324,25,24,28,26,253,1602,11,206,447,173,6,87
5/15/2020,102,24,425,340,0,6,69,16,169,1576,0,193,434,155,4,84
5/16/2020,48,161,438,1057,69,14,36,11,194,1606,11,233,477,201,6,115
5/17/2020,52,83,721,391,23,6,55,14,188,2347,18,242,639,1,4,101
5/18/2020,67,129,0,366,18,0,99,29,259,2005,16,305,536,346,1,148
5/19/2020,58,107,500,395,36,8,151,12,229,2078,22,338,688,321,18,136
5/20/2020,70,176,534,397,29,0,65,24,270,2161,3,170,743,249,11,142
5/21/2020,45,308,571,368,38,59,143,24,246,2345,23,212,776,340,24,94
5/22/2020,62,195,660,363,36,18,138,42,189,2940,1,267,786,220,7,135
5/23/2020,48,203,591,396,64,42,216,63,201,2608,16,248,759,282,91,127
5/24/2020,66,207,508,392,53,20,130,52,294,3041,15,286,765,251,73,208
5/25/2020,287,143,635,404,0,7,93,49,194,2436,0,272,805,264,32,149
5/26/2020,61,253,412,361,121,49,101,67,165,2091,46,236,646,16,52,193
5/27/2020,0,78,792,374,76,22,135,41,237,2190,33,167,817,443,68,183
5/28/2020,80,235,1024,367,123,21,115,84,192,2598,19,364,827,179,31,344
5/29/2020,185,80,1105,372,217,42,248,62,192,2682,39,298,874,114,216,277
5/30/2020,133,260,1163,409,202,52,141,58,246,2940,36,252,938,161,33,317
5/31/2020,110,179,1295,436,168,47,299,61,198,2487,30,214,1149,378,158,371
6/1/2020,104,111,990,421,265,49,187,57,194,2358,38,149,1162,252,51,271
6/2/2020,115,229,1298,417,296,53,388,86,137,2287,41,393,1091,286,85,396
6/3/2020,182,235,1513,483,302,40,267,82,168,2560,34,279,1286,368,42,340
6/4/2020,143,103,1359,484,327,41,257,94,174,2933,39,210,1384,508,68,368
6/5/2020,80,103,1330,510,316,88,515,111,234,2436,46,222,1438,496,62,427
6/6/2020,207,319,1320,498,355,119,378,108,232,2739,54,247,1458,0,88,435
6/7/2020,198,173,1282,478,496,99,239,107,173,3007,93,268,1515,803,52,449
6/8/2020,143,114,1007,475,406,157,308,91,237,2553,55,164,1562,411,56,426
6/9/2020,219,257,1366,469,355,155,161,91,211,2259,56,482,1685,388,126,372
6/10/2020,199,251,1501,507,370,78,120,65,200,3254,86,355,1927,275,25,343
6/11/2020,160,273,1877,511,389,110,204,83,192,3607,82,238,1875,478,81,440
6/12/2020,251,120,2137,495,366,18,271,78,202,3493,99,230,1982,528,81,476
6/13/2020,285,187,2134,511,415,94,308,85,198,3427,77,333,1989,502,61,454
6/14/2020,198,180,2224,506,459,34,176,54,161,3390,77,293,1974,497,34,389
6/15/2020,293,180,1647,511,514,18,213,82,133,2786,127,287,1843,0,26,407
6/16/2020,385,128,1859,522,550,76,317,79,148,2701,104,235,1515,476,97,415
6/17/2020,230,164,2414,516,560,56,204,75,161,3307,126,326,2174,507,81,391
6/18/2020,447,83,2877,508,386,25,210,97,182,3752,118,315,2141,583,79,435
6/19/2020,443,156,3137,540,525,45,337,118,156,3827,217,299,2115,604,75,355
6/20/2020,491,352,3630,539,480,0,416,127,142,3874,120,380,2396,809,124,441
6/21/2020,547,79,3000,580,412,108,453,133,179,3870,122,394,2532,1137,43,414
