Date,State,Total Cases,New Cases
4/3/2020,Andaman and Nicobar Islands,10,0
4/4/2020,Andaman and Nicobar Islands,10,0
4/5/2020,Andaman and Nicobar Islands,10,0
4/6/2020,Andaman and Nicobar Islands,10,0
4/7/2020,Andaman and Nicobar Islands,10,0
4/8/2020,Andaman and Nicobar Islands,10,0
4/9/2020,Andaman and Nicobar Islands,11,1
4/10/2020,Andaman and Nicobar Islands,11,0
4/11/2020,Andaman and Nicobar Islands,11,0
4/12/2020,Andaman and Nicobar Islands,11,0
4/13/2020,Andaman and Nicobar Islands,11,0
4/14/2020,Andaman and Nicobar Islands,11,0
4/15/2020,Andaman and Nicobar Islands,11,0
4/16/2020,Andaman and Nicobar Islands,11,0
4/17/2020,Andaman and Nicobar Islands,11,0
4/18/2020,Andaman and Nicobar Islands,12,1
4/19/2020,Andaman and Nicobar Islands,14,2
4/20/2020,Andaman and Nicobar Islands,15,1
4/21/2020,Andaman and Nicobar Islands,16,1
4/22/2020,Andaman and Nicobar Islands,16,0
4/23/2020,Andaman and Nicobar Islands,18,2
4/24/2020,Andaman and Nicobar Islands,22,4
4/25/2020,Andaman and Nicobar Islands,27,5
4/26/2020,Andaman and Nicobar Islands,33,6
4/27/2020,Andaman and Nicobar Islands,33,0
4/28/2020,Andaman and Nicobar Islands,33,0
4/29/2020,Andaman and Nicobar Islands,33,0
4/30/2020,Andaman and Nicobar Islands,33,0
5/1/2020,Andaman and Nicobar Islands,33,0
5/2/2020,Andaman and Nicobar Islands,33,0
5/3/2020,Andaman and Nicobar Islands,33,0
5/4/2020,Andaman and Nicobar Islands,33,0
5/5/2020,Andaman and Nicobar Islands,33,0
5/6/2020,Andaman and Nicobar Islands,33,0
5/7/2020,Andaman and Nicobar Islands,33,0
5/8/2020,Andaman and Nicobar Islands,33,0
5/9/2020,Andaman and Nicobar Islands,33,0
5/10/2020,Andaman and Nicobar Islands,33,0
5/11/2020,Andaman and Nicobar Islands,33,0
5/12/2020,Andaman and Nicobar Islands,33,0
5/13/2020,Andaman and Nicobar Islands,33,0
5/14/2020,Andaman and Nicobar Islands,33,0
5/15/2020,Andaman and Nicobar Islands,33,0
5/16/2020,Andaman and Nicobar Islands,33,0
5/17/2020,Andaman and Nicobar Islands,33,0
5/18/2020,Andaman and Nicobar Islands,33,0
5/19/2020,Andaman and Nicobar Islands,33,0
5/20/2020,Andaman and Nicobar Islands,33,0
5/21/2020,Andaman and Nicobar Islands,33,0
5/22/2020,Andaman and Nicobar Islands,33,0
5/23/2020,Andaman and Nicobar Islands,33,0
5/24/2020,Andaman and Nicobar Islands,33,0
5/25/2020,Andaman and Nicobar Islands,33,0
5/26/2020,Andaman and Nicobar Islands,33,0
5/27/2020,Andaman and Nicobar Islands,33,0
5/28/2020,Andaman and Nicobar Islands,33,0
5/29/2020,Andaman and Nicobar Islands,33,0
5/30/2020,Andaman and Nicobar Islands,33,0
5/31/2020,Andaman and Nicobar Islands,33,0
6/1/2020,Andaman and Nicobar Islands,33,0
6/2/2020,Andaman and Nicobar Islands,33,0
6/3/2020,Andaman and Nicobar Islands,33,0
6/4/2020,Andaman and Nicobar Islands,33,0
6/5/2020,Andaman and Nicobar Islands,33,0
6/6/2020,Andaman and Nicobar Islands,33,0
6/7/2020,Andaman and Nicobar Islands,33,0
6/8/2020,Andaman and Nicobar Islands,33,0
6/9/2020,Andaman and Nicobar Islands,33,0
6/10/2020,Andaman and Nicobar Islands,33,0
6/11/2020,Andaman and Nicobar Islands,34,1
6/12/2020,Andaman and Nicobar Islands,38,4
6/13/2020,Andaman and Nicobar Islands,38,0
6/14/2020,Andaman and Nicobar Islands,38,0
6/15/2020,Andaman and Nicobar Islands,38,0
6/16/2020,Andaman and Nicobar Islands,41,3
6/17/2020,Andaman and Nicobar Islands,44,3
6/18/2020,Andaman and Nicobar Islands,44,0
6/19/2020,Andaman and Nicobar Islands,44,0
6/20/2020,Andaman and Nicobar Islands,45,1
6/21/2020,Andaman and Nicobar Islands,47,2
6/22/2020,Andaman and Nicobar Islands,48,1
6/23/2020,Andaman and Nicobar Islands,48,0
6/24/2020,Andaman and Nicobar Islands,50,2
6/25/2020,Andaman and Nicobar Islands,56,6
6/27/2020,Andaman and Nicobar Islands,72,16
6/28/2020,Andaman and Nicobar Islands,72,0
6/29/2020,Andaman and Nicobar Islands,76,4
6/30/2020,Andaman and Nicobar Islands,90,14
7/2/2020,Andaman and Nicobar Islands,100,10
7/3/2020,Andaman and Nicobar Islands,109,9
7/5/2020,Andaman and Nicobar Islands,119,10
7/7/2020,Andaman and Nicobar Islands,141,22
7/8/2020,Andaman and Nicobar Islands,147,6
7/9/2020,Andaman and Nicobar Islands,149,2
7/10/2020,Andaman and Nicobar Islands,151,2
7/11/2020,Andaman and Nicobar Islands,156,5
7/12/2020,Andaman and Nicobar Islands,163,7
7/13/2020,Andaman and Nicobar Islands,163,0
7/14/2020,Andaman and Nicobar Islands,166,3
7/15/2020,Andaman and Nicobar Islands,166,0
7/16/2020,Andaman and Nicobar Islands,176,10
7/17/2020,Andaman and Nicobar Islands,176,0
4/3/2020,Andhra Pradesh,132,46
4/4/2020,Andhra Pradesh,161,29
4/5/2020,Andhra Pradesh,161,0
4/6/2020,Andhra Pradesh,226,65
4/7/2020,Andhra Pradesh,266,40
4/8/2020,Andhra Pradesh,305,39
4/9/2020,Andhra Pradesh,348,43
4/10/2020,Andhra Pradesh,348,0
4/11/2020,Andhra Pradesh,363,15
4/12/2020,Andhra Pradesh,381,18
4/13/2020,Andhra Pradesh,427,46
4/14/2020,Andhra Pradesh,473,46
4/15/2020,Andhra Pradesh,483,10
4/16/2020,Andhra Pradesh,525,42
4/17/2020,Andhra Pradesh,572,47
4/18/2020,Andhra Pradesh,572,0
4/19/2020,Andhra Pradesh,603,31
4/20/2020,Andhra Pradesh,646,43
4/21/2020,Andhra Pradesh,722,76
4/22/2020,Andhra Pradesh,757,35
4/23/2020,Andhra Pradesh,813,56
4/24/2020,Andhra Pradesh,895,82
4/25/2020,Andhra Pradesh,955,60
4/26/2020,Andhra Pradesh,1061,106
4/27/2020,Andhra Pradesh,1097,36
4/28/2020,Andhra Pradesh,1183,86
4/29/2020,Andhra Pradesh,1259,76
4/30/2020,Andhra Pradesh,1332,73
5/1/2020,Andhra Pradesh,1403,71
5/2/2020,Andhra Pradesh,1463,60
5/3/2020,Andhra Pradesh,1525,62
5/4/2020,Andhra Pradesh,1583,58
5/5/2020,Andhra Pradesh,1650,67
5/6/2020,Andhra Pradesh,1717,67
5/7/2020,Andhra Pradesh,1777,60
5/8/2020,Andhra Pradesh,1847,70
5/9/2020,Andhra Pradesh,1887,40
5/10/2020,Andhra Pradesh,1930,43
5/11/2020,Andhra Pradesh,1980,50
5/12/2020,Andhra Pradesh,2018,38
5/13/2020,Andhra Pradesh,2090,72
5/14/2020,Andhra Pradesh,2137,47
5/15/2020,Andhra Pradesh,2205,68
5/16/2020,Andhra Pradesh,2307,102
5/17/2020,Andhra Pradesh,2355,48
5/18/2020,Andhra Pradesh,2407,52
5/19/2020,Andhra Pradesh,2474,67
5/20/2020,Andhra Pradesh,2532,58
5/21/2020,Andhra Pradesh,2602,70
5/22/2020,Andhra Pradesh,2647,45
5/23/2020,Andhra Pradesh,2709,62
5/24/2020,Andhra Pradesh,2757,48
5/25/2020,Andhra Pradesh,2823,66
5/26/2020,Andhra Pradesh,3110,287
5/27/2020,Andhra Pradesh,3171,61
5/28/2020,Andhra Pradesh,3171,0
5/29/2020,Andhra Pradesh,3251,80
5/30/2020,Andhra Pradesh,3436,185
5/31/2020,Andhra Pradesh,3569,133
6/1/2020,Andhra Pradesh,3679,110
6/2/2020,Andhra Pradesh,3783,104
6/3/2020,Andhra Pradesh,3898,115
6/4/2020,Andhra Pradesh,4080,182
6/5/2020,Andhra Pradesh,4223,143
6/6/2020,Andhra Pradesh,4303,80
6/7/2020,Andhra Pradesh,4510,207
6/8/2020,Andhra Pradesh,4708,198
6/9/2020,Andhra Pradesh,4851,143
6/10/2020,Andhra Pradesh,5070,219
6/11/2020,Andhra Pradesh,5269,199
6/12/2020,Andhra Pradesh,5429,160
6/13/2020,Andhra Pradesh,5680,251
6/14/2020,Andhra Pradesh,5965,285
6/15/2020,Andhra Pradesh,6163,198
6/16/2020,Andhra Pradesh,6456,293
6/17/2020,Andhra Pradesh,6841,385
6/18/2020,Andhra Pradesh,7071,230
6/19/2020,Andhra Pradesh,7518,447
6/20/2020,Andhra Pradesh,7961,443
6/21/2020,Andhra Pradesh,8452,491
6/22/2020,Andhra Pradesh,8999,547
6/23/2020,Andhra Pradesh,9372,373
6/24/2020,Andhra Pradesh,10002,630
6/25/2020,Andhra Pradesh,10331,329
6/27/2020,Andhra Pradesh,11489,1158
6/28/2020,Andhra Pradesh,12285,796
6/29/2020,Andhra Pradesh,13241,956
6/30/2020,Andhra Pradesh,13891,650
7/2/2020,Andhra Pradesh,15252,1361
7/3/2020,Andhra Pradesh,16097,845
7/5/2020,Andhra Pradesh,17699,1602
7/7/2020,Andhra Pradesh,20019,2320
7/8/2020,Andhra Pradesh,21197,1178
7/9/2020,Andhra Pradesh,22259,1062
7/10/2020,Andhra Pradesh,23814,1555
7/11/2020,Andhra Pradesh,25422,1608
7/12/2020,Andhra Pradesh,27235,1813
7/13/2020,Andhra Pradesh,29168,1933
7/14/2020,Andhra Pradesh,31103,1935
7/15/2020,Andhra Pradesh,33019,1916
7/16/2020,Andhra Pradesh,35451,2432
7/17/2020,Andhra Pradesh,35451,0
4/3/2020,Arunachal Pradesh,1,0
4/4/2020,Arunachal Pradesh,1,0
4/5/2020,Arunachal Pradesh,1,0
4/6/2020,Arunachal Pradesh,1,0
4/7/2020,Arunachal Pradesh,1,0
4/8/2020,Arunachal Pradesh,1,0
4/9/2020,Arunachal Pradesh,1,0
4/10/2020,Arunachal Pradesh,1,0
4/11/2020,Arunachal Pradesh,1,0
4/12/2020,Arunachal Pradesh,1,0
4/13/2020,Arunachal Pradesh,1,0
4/14/2020,Arunachal Pradesh,1,0
4/15/2020,Arunachal Pradesh,1,0
4/16/2020,Arunachal Pradesh,1,0
4/17/2020,Arunachal Pradesh,1,0
4/18/2020,Arunachal Pradesh,1,0
4/19/2020,Arunachal Pradesh,1,0
4/20/2020,Arunachal Pradesh,1,0
4/21/2020,Arunachal Pradesh,1,0
4/22/2020,Arunachal Pradesh,1,0
4/23/2020,Arunachal Pradesh,1,0
4/24/2020,Arunachal Pradesh,1,0
4/25/2020,Arunachal Pradesh,1,0
4/26/2020,Arunachal Pradesh,1,0
4/27/2020,Arunachal Pradesh,1,0
4/28/2020,Arunachal Pradesh,1,0
4/29/2020,Arunachal Pradesh,1,0
4/30/2020,Arunachal Pradesh,1,0
5/1/2020,Arunachal Pradesh,1,0
5/2/2020,Arunachal Pradesh,1,0
5/3/2020,Arunachal Pradesh,1,0
5/4/2020,Arunachal Pradesh,1,0
5/5/2020,Arunachal Pradesh,1,0
5/6/2020,Arunachal Pradesh,1,0
5/7/2020,Arunachal Pradesh,1,0
5/8/2020,Arunachal Pradesh,1,0
